CODE	NOMINAL	NAME	MONEY
AUD	1	Австралийский доллар	76,9174
AZN	1	Азербайджанский манат	60,8337
AMD	100	Армянских драмов	21,0442
BYN	1	Белорусский рубль	31,6632
BGN	1	Болгарский лев	57,9138
BRL	1	Бразильский реал	21,0204
HUF	100	Венгерских форинтов	30,4308
KRW	1000	Вон Республики Корея	84,9838
HKD	1	Гонконгский доллар	13,1855
DKK	1	Датская крона	15,2255
USD	1	Доллар США	103,1618
EUR	1	Евро	113,2613
INR	10	Индийских рупий	13,5199
KZT	100	Казахстанских тенге	20,3014
CAD	1	Канадский доллар	81,933
KGS	10	Киргизских сомов	10,1916
CNY	1	Китайский юань	16,1891
MDL	10	Молдавских леев	56,0814
TMT	1	Новый туркменский манат	29,4748
NOK	1	Норвежская крона	11,7561
PLN	1	Польский злотый	24,0515
RON	1	Румынский лей	22,8913
XDR	1	СДР (специальные права заимствования)	142,2137
SGD	1	Сингапурский доллар	75,9604
TJS	10	Таджикских сомони	85,233
TRY	10	Турецких лир	69,4912
UZS	10000	Узбекских сумов	89,4243
UAH	10	Украинских гривен	34,857
GBP	1	Фунт стерлингов Соединенного королевства	136,0395
CZK	10	Чешских крон	45,9969
SEK	1	Шведская крона	10,8917
CHF	1	Швейцарский франк	110,3335
ZAR	10	Южноафриканских рэндов	69,7002
JPY	100	Японских иен	85,4731